,time,open,high,low,close,tick_volume,spread,real_volume,Previous_High,Previous_Low,BOS_Up,BOS_Down,BOS_Signal
176,1743072900,3052.826,3052.882,3051.283,3051.411,784,112,0,3055.922,3050.936,False,False,No BOS
177,1743073200,3051.448,3053.318,3050.502,3051.986,1010,112,0,3055.922,3051.283,False,False,No BOS
178,1743073500,3051.977,3053.576,3051.588,3052.319,676,112,0,3054.686,3050.502,False,False,No BOS
179,1743073800,3052.355,3054.189,3051.97,3053.252,973,112,0,3054.686,3050.502,False,False,No BOS
180,1743074100,3053.219,3055.668,3051.993,3052.68,845,112,0,3054.686,3050.502,False,False,No BOS
181,1743074400,3052.655,3052.655,3051.253,3051.401,644,112,0,3055.668,3050.502,False,False,No BOS
182,1743074700,3051.421,3051.601,3048.821,3049.854,865,112,0,3055.668,3050.502,False,True,Bearish BOS
183,1743075000,3049.889,3052.802,3049.742,3052.405,790,111,0,3055.668,3048.821,False,False,No BOS
184,1743075300,3052.409,3052.92,3051.012,3052.34,668,112,0,3055.668,3048.821,False,False,No BOS
185,1743075600,3052.335,3053.373,3052.186,3052.556,481,112,0,3055.668,3048.821,False,False,No BOS
186,1743075900,3052.588,3053.157,3051.901,3052.573,596,112,0,3053.373,3048.821,False,False,No BOS
187,1743076200,3052.566,3054.733,3052.437,3053.974,902,112,0,3053.373,3048.821,True,False,Bullish BOS
188,1743076500,3053.999,3055.534,3053.158,3054.59,775,111,0,3054.733,3049.742,False,False,No BOS
189,1743076800,3054.572,3056.0,3054.572,3054.756,779,112,0,3055.534,3051.012,False,False,No BOS
190,1743077100,3054.76,3055.093,3053.709,3054.284,589,112,0,3056.0,3051.901,False,False,No BOS
191,1743077400,3054.281,3054.609,3051.903,3053.444,960,111,0,3056.0,3051.901,False,False,No BOS
192,1743077700,3053.443,3053.644,3051.482,3053.047,865,112,0,3056.0,3051.903,False,False,No BOS
193,1743078000,3053.077,3054.329,3050.024,3050.107,1021,112,0,3056.0,3051.482,False,True,Bearish BOS
194,1743078300,3050.061,3051.3,3049.388,3051.156,910,112,0,3056.0,3050.024,False,False,No BOS
195,1743078600,3051.415,3052.113,3048.4,3050.996,911,111,0,3055.093,3049.388,False,False,No BOS
196,1743078900,3051.091,3051.593,3047.137,3049.035,1239,112,0,3054.609,3048.4,False,False,No BOS
197,1743079200,3049.076,3049.828,3047.206,3049.828,952,112,0,3054.329,3047.137,False,False,No BOS
198,1743079500,3049.805,3051.652,3049.203,3050.536,1023,112,0,3054.329,3047.137,False,False,No BOS
199,1743079800,3050.551,3050.775,3049.159,3050.017,458,112,0,3052.113,3047.137,False,False,No BOS
